,Points,Salary
0,116.32000000000001,53800.0
0,132.72,57100.0
0,118.15999999999998,54100.0
0,142.22000000000003,59500.0
0,126.02000000000001,54300.0
0,116.24000000000002,56300.0
0,88.72,51800.0
0,95.1,56700.0
0,102.41999999999999,53500.0
0,117.04,56000.0
0,135.94,59500.0
0,104.44,50800.0
0,120.27999999999999,59200.0
0,119.80000000000001,58900.0
0,87.2,59800.0
0,98.75999999999999,59800.0
0,130.6,58300.0
0,108.49999999999999,59800.0
0,138.6,59400.0
0,108.28,59100.0
0,107.02,51300.0
0,112.67999999999999,58100.0
0,146.70000000000002,57700.0
0,117.1,57600.0
0,110.96000000000001,56600.0
0,102.9,52800.0
0,89.28,54300.0
0,117.26,55100.0
0,129.54,55300.0
0,111.47999999999999,59900.0
0,84.17999999999999,56200.0
0,97.8,50600.0
0,79.32000000000001,55900.0
0,125.52000000000001,59100.0
0,87.04,56600.0
0,92.47999999999999,50500.0
0,116.93999999999998,59800.0
0,129.7,59600.0
0,145.56,59100.0
0,124.35999999999999,52900.0
0,96.96000000000001,53300.0
0,61.92,52700.0
0,77.078207146,53700.0
0,129.6,55700.0
0,84.78,50100.0
0,114.0,58500.0
0,86.66,50500.0
0,104.99999999999999,58100.0
0,87.30000000000001,55900.0
0,84.82000000000001,52700.0
0,84.24000000000001,51100.0
0,101.58,54200.0
0,111.72,58500.0
0,84.38000000000001,50700.0
0,96.02,53400.0
0,47.48,54700.0
0,82.54,52600.0
0,128.92,54500.0
0,85.1,54500.0
0,109.92,56000.0
0,155.35999999999999,54800.0
0,106.3,53200.0
0,106.12,57500.0
0,88.48,58800.0
0,95.24000000000001,55400.0
0,104.42000000000002,50800.0
0,94.68,54400.0
0,106.24000000000001,58600.0
0,49.33999999999999,51100.0
0,124.10000000000001,54300.0
0,81.69999999999999,51100.0
0,128.64,59800.0
0,99.67999999999999,51400.0
0,88.66000000000001,50700.0
0,68.11999999999999,50500.0
0,100.14,57500.0
0,110.7,54200.0
